Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number TRSs,Number Quadrats Per TRS,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,Density Metric
4,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
2,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
16,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
10,0.5,SRS,0.01,5,2,2,1,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
3,0.5,SRS,0.01,5,2,1,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
5,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
15,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
17,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
18,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
9,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
19,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
1,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,1,0,1,2,1,0,1,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
13,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,1.3975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
