Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
3,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000603,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
14,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,1.3975000000000684,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
5,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000561,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
7,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000376,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
16,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000284,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
15,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000209,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
6,0.5,simple-random-sample,0.01,5,1,2,2,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000045,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
1,0.5,simple-random-sample,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000525,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
10,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000133,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
12,0.5,simple-random-sample,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000259,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
11,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000416,45,0,0,0,0,true,0,0,45,1,0,0,1,1,0,0,1,0.375,0,0,0,0,0.08888888888888889,6.70820393249937,0,0,0,
13,0.5,simple-random-sample,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000188,45,0,0,0,0,true,0,0,45,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,NA,0,0,0,
