Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
6,0.5,adaptive-cluster,0.1,50,4,9,37,1,1,1,Clumped-Matern,3,0,One shore; one middle,1.054999999999985,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
9,0.5,adaptive-cluster,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,0.9975000000000678,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
5,0.5,adaptive-cluster,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore; one middle,0.9975000000000552,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
2,0.5,adaptive-cluster,0.1,50,8,6,36,1,1,1,Clumped-Matern,3,0,One shore only,1.1349999999999831,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
17,0.5,adaptive-cluster,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,Randomly placed,0.9975000000000527,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
1,0.5,adaptive-cluster,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000577,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
7,0.5,adaptive-cluster,1,500,57,73,370,1,1,1,Clumped-Matern,3,0,One shore; one middle,1.71,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
15,0.5,adaptive-cluster,1,500,54,58,388,1,1,1,Clumped-Matern,3,0,One shore; 2 additional,1.642,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
10,0.5,adaptive-cluster,0.1,50,5,7,38,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.054999999999981,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
21,0.5,adaptive-cluster,0.01,5,1,0,4,0.7,0.7,0.7,Clumped-Matern,3,0,One shore only,0.9975000000000395,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
14,0.5,adaptive-cluster,0.1,50,6,11,33,1,1,1,Clumped-Matern,3,0,One shore; 2 additional,1.174999999999985,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
13,0.5,adaptive-cluster,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore; 2 additional,0.9975000000000348,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
18,0.5,adaptive-cluster,0.1,50,6,12,32,1,1,1,Clumped-Matern,3,0,Randomly placed,1.3749999999999811,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
26,0.5,adaptive-cluster,0.1,50,5,8,37,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle,1.0949999999999815,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
23,0.5,adaptive-cluster,1,500,61,76,363,0.7,0.7,0.7,Clumped-Matern,3,0,One shore only,1.962,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
29,0.5,adaptive-cluster,0.01,5,0,0,5,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle; 2 additional,0.9975000000000163,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
22,0.5,adaptive-cluster,0.1,50,2,9,39,0.7,0.7,0.7,Clumped-Matern,3,0,One shore only,1.1749999999999814,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
25,0.5,adaptive-cluster,0.01,5,0,1,4,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle,0.9975000000000142,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
19,0.5,adaptive-cluster,1,500,54,75,371,1,1,1,Clumped-Matern,3,0,Randomly placed,3.806,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
30,0.5,adaptive-cluster,0.1,50,8,10,32,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.0549999999999802,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
34,0.5,adaptive-cluster,0.1,50,4,8,38,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; 2 additional,1.0549999999999855,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
3,0.5,adaptive-cluster,1,500,46,79,375,1,1,1,Clumped-Matern,3,0,One shore only,1.782,0,0,3,3,50,true,0,0,50,54,7,8,39,54,7,8,39,0.4166666666666667,0,0,0,0,0,1.0719999782727414,0,2.32258064516129,29.669094693028086,
33,0.5,adaptive-cluster,0.01,5,0,1,4,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; 2 additional,0.9975000000000398,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
37,0.5,adaptive-cluster,0.01,5,0,1,4,0.7,0.7,0.7,Clumped-Matern,3,0,Randomly placed,0.9975000000000187,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
11,0.5,adaptive-cluster,1,500,35,73,392,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.69,0,0,3,3,50,true,0,0,50,41,2,8,31,41,2,8,31,0.4166666666666667,0,0,0,0,0,1.3649022498815964,0,2.2777777777777777,28.535493827160487,
27,0.5,adaptive-cluster,1,500,56,74,370,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle,1.63,0,0,3,3,50,true,0,0,7,1,0,0,1,1,0,0,1,0.058333333333333334,0,0,0,0,0,2.6457513110645907,0,1.3333333333333333,9.777777777777777,
35,0.5,adaptive-cluster,1,500,43,69,388,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; 2 additional,1.854,0,0,3,3,50,true,0,0,3,1,0,1,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
38,0.5,adaptive-cluster,0.1,50,4,10,36,0.7,0.7,0.7,Clumped-Matern,3,0,Randomly placed,1.8549999999999802,0,0,3,3,50,true,0,0,7,1,0,0,1,1,0,0,1,0.058333333333333334,0,0,0,0,0,2.645751311064591,0,1.3333333333333333,9.777777777777777,
42,0.5,adaptive-cluster,0.1,50,5,5,40,0.3,0.3,0.3,Clumped-Matern,3,0,One shore only,1.1749999999999845,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
43,0.5,adaptive-cluster,1,500,53,80,367,0.3,0.3,0.3,Clumped-Matern,3,0,One shore only,1.794,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
45,0.5,adaptive-cluster,0.01,5,2,1,2,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle,0.9975000000000395,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
46,0.5,adaptive-cluster,0.1,50,7,2,41,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle,0.9749999999999814,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
31,0.5,adaptive-cluster,1,500,45,68,387,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.466,0,0,3,3,50,true,0,0,7,2,0,0,2,2,0,0,2,0.058333333333333334,0,0,0,0,0,2.645751311064591,0,2.6666666666666665,39.11111111111111,
4,0.5,adaptive-cluster,7,3500,329,537,2634,1,1,1,Clumped-Matern,3,0,One shore only,7.4311428571428575,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
39,0.5,adaptive-cluster,1,500,46,67,387,0.7,0.7,0.7,Clumped-Matern,3,0,Randomly placed,3.558,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
41,0.5,adaptive-cluster,0.01,5,1,1,3,0.3,0.3,0.3,Clumped-Matern,3,0,One shore only,0.9975000000000256,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
47,0.5,adaptive-cluster,1,500,50,76,374,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle,1.49,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
20,0.5,adaptive-cluster,7,3500,360,551,2589,1,1,1,Clumped-Matern,3,0,Randomly placed,13.392285714285714,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
53,0.5,adaptive-cluster,0.01,5,0,0,5,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; 2 additional,0.9975000000000487,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
54,0.5,adaptive-cluster,0.1,50,6,9,35,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; 2 additional,1.0549999999999822,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
28,0.5,adaptive-cluster,7,3500,351,525,2624,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; one middle,5.069428571428571,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
24,0.5,adaptive-cluster,7,3500,359,535,2606,0.7,0.7,0.7,Clumped-Matern,3,0,One shore only,7.461428571428571,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
49,0.5,adaptive-cluster,0.01,5,0,1,4,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle; 2 additional,0.9975000000000449,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
36,0.5,adaptive-cluster,7,3500,325,497,2678,0.7,0.7,0.7,Clumped-Matern,3,0,One shore; 2 additional,6.1899999999999995,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
51,0.5,adaptive-cluster,1,500,57,60,383,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.562,0,0,3,3,50,true,0,0,3,2,0,1,1,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
57,0.5,adaptive-cluster,0.01,5,1,0,4,0.3,0.3,0.3,Clumped-Matern,3,0,Randomly placed,0.9975000000000401,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
58,0.5,adaptive-cluster,0.1,50,5,7,38,0.3,0.3,0.3,Clumped-Matern,3,0,Randomly placed,1.2149999999999819,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
12,0.5,adaptive-cluster,7,3500,336,528,2636,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,3.8774285714285712,0,0,3,3,50,true,0,0,50,186,16,29,141,186,16,29,141,0.4166666666666667,0,0,0,0,0,0.6784096060514156,0,6.2,211.42000000000002,
16,0.5,adaptive-cluster,7,3500,374,537,2589,1,1,1,Clumped-Matern,3,0,One shore; 2 additional,6.942571428571428,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
40,0.5,adaptive-cluster,7,3500,363,522,2615,0.7,0.7,0.7,Clumped-Matern,3,0,Randomly placed,34.23057142857143,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
50,0.5,adaptive-cluster,0.1,50,6,9,35,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.0149999999999855,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
59,0.5,adaptive-cluster,1,500,57,83,360,0.3,0.3,0.3,Clumped-Matern,3,0,Randomly placed,1.894,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
62,0.5,adaptive-cluster,0.1,50,4,9,37,1,1,1,Clumped-Matern,3,0,One shore only,1.014999999999984,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
61,0.5,adaptive-cluster,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000656,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
55,0.5,adaptive-cluster,1,500,42,73,385,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; 2 additional,1.778,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
69,0.5,adaptive-cluster,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,0.9975000000000228,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
44,0.5,adaptive-cluster,7,3500,346,524,2630,0.3,0.3,0.3,Clumped-Matern,3,0,One shore only,7.387714285714286,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
66,0.5,adaptive-cluster,0.1,50,6,6,38,1,1,1,Clumped-Matern,3,0,One shore; one middle,1.014999999999983,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
70,0.5,adaptive-cluster,0.1,50,8,6,36,1,1,1,Clumped-Matern,3,0,One shore; one middle; 2 additional,1.054999999999982,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
65,0.5,adaptive-cluster,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore; one middle,0.9975000000000225,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
67,0.5,adaptive-cluster,1,500,48,76,376,1,1,1,Clumped-Matern,3,0,One shore; one middle,1.614,0,0,3,14,75,true,0,0,14,0,0,0,0,0,0,0,0,0.11666666666666667,0,0,0,0,0,NA,0,0,0,
56,0.5,adaptive-cluster,7,3500,378,509,2613,0.3,0.3,0.3,Clumped-Matern,3,0,One shore; 2 additional,6.016857142857143,0,0,3,3,50,true,0,0,3,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,NA,0,0,0,
