Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
6,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000718,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
8,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000167,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
4,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000311,0,0,3,3,50,true,1,0,107,0,0,0,0,0,0,0,0,1.0125000000000017,117,0,0,0,0,NA,0,0,0,
11,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000184,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0025000000000013,116,0,0,0,0,NA,0,0,0,
15,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000409,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
13,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000358,0,0,3,3,50,true,1,0,111,1,0,1,0,1,0,1,0,1.005000000000002,116,0,1,0,0,NA,0.9950248756218887,0,0,
7,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000044,0,0,3,3,50,true,1,0,111,1,0,1,0,1,0,1,0,1.0043750000000016,116,0,1,0,0,NA,0.9956440572495318,0,0,
12,0.5,timed-search,0.01,5,1,2,2,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000015,0,0,3,3,50,true,1,0,114,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
3,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,1.3975000000000375,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
14,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000028,0,0,3,3,50,true,1,0,105,0,0,0,0,0,0,0,0,1.0037500000000013,116,0,0,0,0,NA,0,0,0,
1,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000277,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
17,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000286,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
16,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000592,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0131250000000016,117,0,0,0,0,NA,0,0,0,
5,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000638,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
2,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000332,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
9,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000318,0,0,3,3,50,true,1,0,112,1,0,0,1,1,0,0,1,1.0131250000000016,117,1,0,0,0,NA,0.9870450339296715,0,0,
18,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000412,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0131250000000016,117,0,0,0,0,NA,0,0,0,
19,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000139,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
21,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000045,0,0,3,3,50,true,1,0,103,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
10,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000148,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0025000000000015,116,0,0,0,0,NA,0,0,0,
20,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000191,0,0,3,3,50,true,1,0,103,1,0,0,1,1,0,0,1,1.0193750000000013,118,0,1,0,0,NA,0.9809932556713661,0,0,
22,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000434,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
25,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000577,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
24,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000617,0,0,3,3,50,true,1,0,114,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
26,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000787,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
27,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000447,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
23,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000351,0,0,3,3,50,true,1,0,99,0,0,0,0,0,0,0,0,1.0131250000000016,117,0,0,0,0,NA,0,0,0,
28,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000123,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
29,0.5,timed-search,0.01,5,0,3,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000517,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
30,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000582,0,0,3,3,50,true,1,0,113,1,0,0,1,1,0,0,1,1.0181250000000008,118,0,0,1,0,NA,0.9821976672805394,0,0,
32,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000523,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
31,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000561,0,0,3,3,50,true,1,0,107,0,0,0,0,0,0,0,0,1.0037500000000013,116,0,0,0,0,NA,0,0,0,
35,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000497,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0043750000000016,116,0,0,0,0,NA,0,0,0,
33,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000669,0,0,3,3,50,true,1,0,106,1,0,0,1,1,0,0,1,1.0012500000000026,115,0,0,1,0,NA,0.9987515605493107,0,0,
37,0.5,timed-search,0.01,5,3,1,1,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000293,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
36,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000012,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
34,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000401,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0025000000000013,116,0,0,0,0,NA,0,0,0,
43,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000135,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0025000000000015,116,0,0,0,0,NA,0,0,0,
39,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000591,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
38,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000604,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
42,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000135,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0025000000000013,116,0,0,0,0,NA,0,0,0,
41,0.5,timed-search,0.01,5,2,1,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000225,0,0,3,3,50,true,1,0,92,0,0,0,0,0,0,0,0,1.0012500000000024,115,0,0,0,0,NA,0,0,0,
45,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000417,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
40,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000345,0,0,3,3,50,true,1,0,114,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
46,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000369,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
48,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000132,0,0,3,3,50,true,1,0,105,0,0,0,0,0,0,0,0,1.0043750000000016,116,0,0,0,0,NA,0,0,0,
47,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000023,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
50,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000542,0,0,3,3,50,true,1,0,105,0,0,0,0,0,0,0,0,1.0037500000000013,116,0,0,0,0,NA,0,0,0,
44,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000284,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
53,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000416,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0043750000000018,116,0,0,0,0,NA,0,0,0,
55,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000706,0,0,3,3,50,true,1,0,111,1,0,0,1,1,0,0,1,1.0125000000000017,117,1,0,0,0,NA,0.9876543209876526,0,0,
49,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000287,0,0,3,3,50,true,1,0,116,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
52,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000139,0,0,3,3,50,true,1,0,115,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
56,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000561,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
54,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000049,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
57,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000703,0,0,3,3,50,true,1,0,102,0,0,0,0,0,0,0,0,1.0131250000000016,117,0,0,0,0,NA,0,0,0,
51,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000394,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0125000000000017,117,0,0,0,0,NA,0,0,0,
58,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000274,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0131250000000016,117,0,0,0,0,NA,0,0,0,
59,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000525,0,0,3,3,50,true,1,0,114,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
61,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000435,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0043750000000018,116,0,0,0,0,NA,0,0,0,
62,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000508,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
60,0.5,timed-search,0.01,5,2,2,1,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000471,0,0,3,3,50,true,1,0,104,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
65,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000261,0,0,3,3,50,true,1,0,106,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
64,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000523,0,0,3,3,50,true,1,0,106,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
63,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000053,0,0,3,3,50,true,1,0,109,1,0,0,1,1,0,0,1,1.0131250000000016,117,1,0,0,0,NA,0.9870450339296715,0,0,
66,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000287,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
67,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000332,0,0,3,3,50,true,1,0,115,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
70,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000277,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
71,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000509,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
68,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000336,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0037500000000013,116,0,0,0,0,NA,0,0,0,
69,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000641,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0037500000000013,116,0,0,0,0,NA,0,0,0,
75,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,1.3975000000000524,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
74,0.5,timed-search,0.01,5,1,2,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000528,0,0,3,3,50,true,1,0,106,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
79,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000669,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
72,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000419,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
73,0.5,timed-search,0.01,5,2,1,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000758,0,0,3,3,50,true,1,0,97,0,0,0,0,0,0,0,0,1.0125000000000017,117,0,0,0,0,NA,0,0,0,
85,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000468,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
76,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000054,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
81,0.5,timed-search,0.01,5,2,1,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000617,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
78,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000203,0,0,3,3,50,true,1,0,102,1,0,0,1,1,0,0,1,1.0018750000000012,115,1,0,0,0,NA,0.9981285090455384,0,0,
83,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000037,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000017,116,0,0,0,0,NA,0,0,0,
86,0.5,timed-search,0.01,5,1,2,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000428,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0025000000000015,116,0,0,0,0,NA,0,0,0,
93,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000152,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.0125000000000015,117,0,0,0,0,NA,0,0,0,
77,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000351,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
87,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000648,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0125000000000017,117,0,0,0,0,NA,0,0,0,
80,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000197,0,0,3,3,50,true,1,0,111,1,0,0,1,1,0,0,1,1.0168750000000009,118,0,0,1,0,NA,0.983405039950829,0,0,
82,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000329,0,0,3,3,50,true,1,0,98,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
95,0.5,timed-search,0.01,5,0,3,2,1,1,1,Clumped-Matern,3,0,One shore only,0.99750000000005,0,0,3,3,50,true,1,0,114,1,0,1,0,1,0,1,0,1.0131250000000018,117,1,0,0,0,NA,0.9870450339296712,0,0,
98,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000308,0,0,3,3,50,true,1,0,107,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
99,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000656,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
92,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000417,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
90,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000681,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
97,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000163,0,0,3,3,50,true,1,0,111,2,0,0,2,2,0,0,2,1.0156250000000004,118,2,0,0,0,NA,1.9692307692307685,0,0,
89,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000582,0,0,3,3,50,true,1,0,109,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
84,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000209,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
100,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000374,0,0,3,3,50,true,1,0,107,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
91,0.5,timed-search,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000481,0,0,3,3,50,true,1,0,115,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
102,0.5,timed-search,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000528,0,0,3,3,50,true,2,0,207,0,0,0,0,0,0,0,0,2.006250000000007,235,0,0,0,0,NA,0,0,0,
