Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
4,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000311,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
10,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000286,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
5,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000382,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
6,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000667,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
2,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000128,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
7,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000567,0,5,3,0,0,true,0,0,15,1,0,0,1,1,0,0,1,0.125,0,0,0,0,0.26666666666666666,3.8729833462074175,0,0,0,
11,0.5,transect,0.01,5,0,2,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000123,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
17,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000218,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
16,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000247,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
8,0.5,transect,0.01,5,2,0,3,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000369,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
13,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000129,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
1,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Matern,3,0,One shore only,0.997500000000035,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
18,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000462,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
14,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000243,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
15,0.5,transect,0.01,5,0,3,2,1,1,1,Clumped-Matern,3,0,One shore only,0.9975000000000147,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
