Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
1,0.5,timed-search,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000487,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0025000000000013,116,0,0,0,0,NA,0,0,0,
2,0.5,timed-search,0.1,50,9,8,33,1,1,1,Clumped-Poisson,5,3,Randomly placed,1.0949999999999833,0,0,3,3,50,true,1,0,109,2,0,0,2,2,0,0,2,1.0125000000000015,117,0,1,1,0,NA,1.9753086419753056,0,0,
6,0.5,timed-search,0.1,50,5,7,38,1,1,1,Clumped-Poisson,5,3,Randomly placed,1.1749999999999816,0,0,3,3,50,true,2,0,214,2,0,0,2,2,0,0,2,2.0025000000000075,235,0,1,1,0,NA,0.9987515605493096,0,0,
9,0.5,timed-search,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000459,0,0,3,3,50,true,4.5,0,424,3,0,0,3,3,0,0,3,4.504999999999953,530,1,1,1,0,NA,0.6659267480577207,0,0,
5,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000391,0,0,3,3,50,true,2,0,213,2,0,0,2,2,0,0,2,2.010625000000008,236,2,0,0,0,NA,0.9947155735156938,0,0,
3,0.5,timed-search,1,500,52,92,356,1,1,1,Clumped-Poisson,5,3,Randomly placed,2.062,0,0,3,3,50,true,1,0,113,36,1,10,25,36,1,10,25,1.0037500000000033,115,11,1,24,0,NA,35.865504358654924,0,0,
10,0.5,timed-search,0.1,50,5,4,41,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9749999999999832,0,0,3,3,50,true,4.5,0,398,21,4,2,15,21,4,2,15,4.506249999999958,534,5,6,10,0,NA,4.660194174757325,0,0,
7,0.5,timed-search,1,500,42,78,380,1,1,1,Clumped-Poisson,5,3,Randomly placed,2.746,0,0,3,3,50,true,2,0,198,88,6,17,65,88,6,17,65,2.021875000000006,238,54,8,26,0,NA,43.52395672333836,0,0,
14,0.5,timed-search,0.1,50,4,11,35,1,1,1,Clumped-Poisson,5,3,Randomly placed,1.0549999999999826,0,0,3,3,50,true,7,0,600,23,4,4,15,23,4,4,15,7.014374999999927,831,8,8,7,0,NA,3.2789806647064403,0,0,
13,0.5,timed-search,0.01,5,0,2,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000215,0,0,3,3,50,true,7,0,643,0,0,0,0,0,0,0,0,7.0062499999999,820,0,0,0,0,NA,0,0,0,
11,0.5,timed-search,1,500,65,70,365,1,1,1,Clumped-Poisson,5,3,Randomly placed,2.362,0,0,3,3,50,true,4.5,0,356,136,13,14,109,136,13,14,109,4.503749999999973,535,56,26,54,0,NA,30.19705800721639,0,0,
15,0.5,timed-search,1,500,56,81,363,1,1,1,Clumped-Poisson,5,3,Randomly placed,2.106,0,0,3,3,50,true,7,0,589,208,25,38,145,208,25,38,145,7.011874999999961,835,68,58,82,0,NA,29.663962920046515,0,0,
18,0.5,timed-search,0.1,50,3,6,41,1,1,1,Clumped-Poisson,5,3,Randomly placed,1.0549999999999848,0,0,3,3,50,true,10,0,822,27,1,2,24,27,1,2,24,10.017499999999986,1184,7,12,8,0,NA,2.6952832543049703,0,0,
17,0.5,timed-search,0.01,5,2,0,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000459,0,0,3,3,50,true,10,0,845,1,0,0,1,1,0,0,1,10.004375000000008,1172,1,0,0,0,NA,0.09995626913225455,0,0,
29,0.5,timed-search,0.01,5,1,0,4,0.7,0.7,0.7,Clumped-Poisson,5,3,Randomly placed,0.9975000000000517,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.00625,117,0,0,0,0,NA,0,0,0,
19,0.5,timed-search,1,500,50,72,378,1,1,1,Clumped-Poisson,5,3,Randomly placed,2.082,0,0,3,3,50,true,10,0,784,247,24,47,176,247,24,47,176,10.01124999999998,1194,68,95,84,0,NA,24.672243725808514,0,0,
30,0.5,timed-search,0.1,50,8,5,37,0.7,0.7,0.7,Clumped-Poisson,5,3,Randomly placed,0.9749999999999842,0,0,3,3,50,true,1,0,109,7,3,1,3,5,2,1,2,1.0131250000000025,117,1,3,1,0,NA,4.935225169648353,0,0,
31,0.5,timed-search,1,500,52,73,375,0.7,0.7,0.7,Clumped-Poisson,5,3,Randomly placed,3.742,0,0,3,3,50,true,1,0,108,7,1,2,4,6,0,2,4,1.0106250000000032,116,1,1,4,0,NA,5.936920222634489,0,0,
33,0.5,timed-search,0.01,5,0,0,5,0.7,0.7,0.7,Clumped-Poisson,5,3,Randomly placed,0.9975000000000586,0,0,3,3,50,true,2,0,215,1,0,0,1,0,0,0,0,2.006250000000007,235,0,0,0,0,NA,0,0,0,
34,0.5,timed-search,0.1,50,7,9,34,0.7,0.7,0.7,Clumped-Poisson,5,3,Randomly placed,1.1349999999999876,0,0,3,3,50,true,2,0,216,7,4,3,0,5,2,3,0,2.0212500000000033,239,0,4,1,0,NA,2.473716759431041,0,0,
