Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
12,0.5,transect,0.01,5,1,2,2,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000385,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
10,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000275,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
5,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000465,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
11,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000203,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
2,0.5,transect,0.01,5,0,2,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000213,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
9,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000124,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
6,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000546,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
17,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000558,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
4,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000191,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
7,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000515,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
1,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.997500000000044,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
13,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000259,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
3,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000749,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
14,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000644,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
15,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000308,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
8,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000588,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
18,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000441,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
16,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000381,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
20,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000613,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
19,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000194,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
22,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000457,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
23,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000542,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
24,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000435,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
32,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000243,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
21,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000542,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
29,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000132,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
35,0.5,transect,0.01,5,2,1,2,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000631,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
25,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000636,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
27,0.5,transect,0.01,5,0,1,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000311,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
31,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000591,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
28,0.5,transect,0.01,5,1,1,3,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000419,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
36,0.5,transect,0.01,5,0,3,2,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.997500000000035,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
37,0.5,transect,0.01,5,1,0,4,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.997500000000057,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
26,0.5,transect,0.01,5,0,0,5,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000138,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
33,0.5,transect,0.01,5,2,1,2,1,1,1,Clumped-Poisson,5,3,Randomly placed,0.9975000000000505,0,5,3,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
