Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
1,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,random,0,0,Randomly placed,0.9975000000000505,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
14,0.5,simple-random-sample,0.01,5,1,1,3,1,1,1,random,0,0,Randomly placed,0.997500000000031,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
5,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,random,0,0,Randomly placed,0.9975000000000283,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
8,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,random,0,0,Randomly placed,0.9975000000000532,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
11,0.5,simple-random-sample,0.01,5,1,1,3,1,1,1,random,0,0,Randomly placed,0.9975000000000374,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
7,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000459,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
6,0.5,simple-random-sample,0.01,5,1,1,3,1,1,1,random,0,0,Randomly placed,0.9975000000000582,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
13,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,random,0,0,Randomly placed,0.9975000000000339,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
3,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000521,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
10,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000523,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
2,0.5,simple-random-sample,0.01,5,0,2,3,1,1,1,random,0,0,Randomly placed,0.9975000000000525,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
15,0.5,simple-random-sample,0.01,5,1,0,4,1,1,1,random,0,0,Randomly placed,0.9975000000000647,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
16,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000268,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
9,0.5,simple-random-sample,0.01,5,0,0,5,1,1,1,random,0,0,Randomly placed,0.9975000000000632,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
4,0.5,simple-random-sample,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000398,15,0,0,0,0,true,0,0,15,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,NA,0,0,0,
