Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
10,0.5,timed-search,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000449,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
5,0.5,timed-search,0.01,5,1,1,3,1,1,1,random,0,0,Randomly placed,0.9975000000000653,0,0,3,3,50,true,1,0,108,0,0,0,0,0,0,0,0,1.0025000000000015,116,0,0,0,0,NA,0,0,0,
16,0.5,timed-search,0.01,5,0,0,5,1,1,1,random,0,0,Randomly placed,0.9975000000000235,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
12,0.5,timed-search,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000221,0,0,3,3,50,true,1,0,113,1,0,0,1,1,0,0,1,1.00625,117,0,0,1,0,NA,0.9937888198757763,0,0,
3,0.5,timed-search,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000542,0,0,3,3,50,true,1,0,110,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
15,0.5,timed-search,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000598,0,0,3,3,50,true,1,0,99,0,0,0,0,0,0,0,0,1.0037500000000015,116,0,0,0,0,NA,0,0,0,
8,0.5,timed-search,0.01,5,1,1,3,1,1,1,random,0,0,Randomly placed,0.9975000000000258,0,0,3,3,50,true,1,0,112,0,0,0,0,0,0,0,0,1.002500000000001,116,0,0,0,0,NA,0,0,0,
13,0.5,timed-search,0.01,5,0,0,5,1,1,1,random,0,0,Randomly placed,0.9975000000000374,0,0,3,3,50,true,1,0,112,1,0,0,1,1,0,0,1,1.0125000000000015,117,0,0,1,0,NA,0.9876543209876528,0,0,
1,0.5,timed-search,0.01,5,0,1,4,1,1,1,random,0,0,Randomly placed,0.9975000000000258,0,0,3,3,50,true,1,0,111,0,0,0,0,0,0,0,0,1.0212500000000015,118,0,0,0,0,NA,0,0,0,
2,0.5,timed-search,0.01,5,0,0,5,1,1,1,random,0,0,Randomly placed,0.9975000000000303,0,0,3,3,50,true,1,0,113,0,0,0,0,0,0,0,0,1.0212500000000018,118,0,0,0,0,NA,0,0,0,
