density,response,order,variable,type,group,value
0.1,Percent error,1,Intercept,Intercept,CI,-125.547
0.1,Percent error,2,Search effort,Search effort,CI,0.171
0.1,Percent error,3,ACS,Sampling method,CI,-19.617
0.1,Percent error,4,TRS,Sampling method,CI,-12.281
0.1,Percent error,5,CM 1S,Spatial distribution,CI,-14.948
0.1,Percent error,6,CM 1S+1M,Spatial distribution,CI,-15.222
0.1,Percent error,7,CM 1S+1M+2,Spatial distribution,CI,-15.382
0.1,Percent error,8,CM 1S+2,Spatial distribution,CI,-12.209
0.1,Percent error,9,CM Ran,Spatial distribution,CI,-4.497
0.1,Percent error,10,Poisson,Spatial distribution,CI,-9.881
0.1,Percent error,11,ACS x CM 1S,Interaction,CI,-7.164
0.1,Percent error,12,TRS x CM 1S,Interaction,CI,-2.805
0.1,Percent error,13,ACS x CM 1S+1M,Interaction,CI,-5.349
0.1,Percent error,14,TRS x CM 1S+1M,Interaction,CI,-4.989
0.1,Percent error,15,ACS x CM 1S+1M +2,Interaction,CI,-3.376
0.1,Percent error,16,TRS x CM 1S+1M +2,Interaction,CI,-5.758
0.1,Percent error,17,ACS x CM 1S+2,Interaction,CI,-7.733
0.1,Percent error,18,TRS x CM 1S+2,Interaction,CI,-8.61
0.1,Percent error,19,ACS x CM Ran,Interaction,CI,-15.265
0.1,Percent error,20,TRS x CM Ran,Interaction,CI,-17.215
0.1,Percent error,21,ACS x Poisson,Interaction,CI,-6.966
0.1,Percent error,22,TRS x Poisson,Interaction,CI,-10.714
7,Percent error,1,Intercept,Intercept,CI,3.126
7,Percent error,2,TRS,Sampling method,CI,-1.13
7,Percent error,3,CM 1S,Spatial distribution,CI,4.741
7,Percent error,4,CM 1S+1M,Spatial distribution,CI,3.989
7,Percent error,5,CM 1S+1M+2,Spatial distribution,CI,2.683
7,Percent error,6,CM 1S+2,Spatial distribution,CI,6.106
7,Percent error,7,CM Ran,Spatial distribution,CI,11.656
7,Percent error,8,Poisson,Spatial distribution,CI,6.655
7,Percent error,9,TRS x CM 1S,Interaction,CI,-2.583
7,Percent error,10,TRS x CM 1S+1M,Interaction,CI,-2.905
7,Percent error,11,TRS x CM 1S+1M +2,Interaction,CI,-3.767
7,Percent error,12,TRS x 1S+2,Interaction,CI,-5.203
7,Percent error,13,TRS x CM Ran,Interaction,CI,-7.452
7,Percent error,14,TRS x Poisson,Interaction,CI,-5.774
0.1,CV,1,Intercept,Intercept,CI,37.128
0.1,CV,2,Search effort,Search effort,CI,-0.178
0.1,CV,3,ACS,Sampling method,CI,1.263
0.1,CV,4,TRS,Sampling method,CI,-1.105
0.1,CV,5,CM 1S,Spatial distribution,CI,-0.667
