Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mean Probability of Detection for Sampled Mussels,Mean Times Sampled Mussel is Sampled,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
10,0.5,timed-search,0.1,50,2,15,33,1,1,1,random,5,6,Randomly placed,0.9749999999999828,1999,0,5,10,2000,true,4.5,0,404,7,0,2,5,7,0,2,5,4.5043749999999845,535,1,1,4,1,2,0,NA,1.5540446787845204,0,0,
16,0.5,timed-search,0.1,50,5,5,40,1,1,1,random,5,6,Randomly placed,1.0149999999999815,1999,0,5,10,2000,true,4.5,0,395,12,1,2,9,12,1,2,9,4.504374999999984,536,1,1.1666666666666667,8,2,2,0,NA,2.6640765922020355,0,0,
9,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.9749999999999834,1999,0,5,10,2000,true,4.5,0,444,8,1,1,6,8,1,1,6,4.50624999999997,535,1,1,3,3,2,0,NA,1.7753120665742141,0,0,
13,0.5,timed-search,0.1,50,1,9,40,1,1,1,random,5,6,Randomly placed,0.9749999999999833,1999,0,5,10,2000,true,4.5,0,435,14,0,2,12,14,0,2,12,4.508124999999975,535,1,1.2857142857142858,5,5,4,0,NA,3.105503951199241,0,0,
11,0.5,timed-search,0.1,50,5,10,35,1,1,1,random,5,6,Randomly placed,0.9749999999999815,1999,0,5,10,2000,true,4.5,0,400,13,1,1,11,13,1,1,11,4.504374999999997,536,1,1.3076923076923077,2,8,3,0,NA,2.88608297488553,0,0,
1,0.5,timed-search,0.1,50,10,5,35,1,1,1,random,5,6,Randomly placed,0.9749999999999844,1999,0,5,10,2000,true,4.5,0,371,5,1,1,3,5,1,1,3,4.5012499999999624,532,1,1.4,1,1,3,0,NA,1.1108025548458853,0,0,
5,0.5,timed-search,0.1,50,7,8,35,1,1,1,random,5,6,Randomly placed,0.9749999999999849,1999,0,5,10,2000,true,4.5,0,386,8,0,1,7,8,0,1,7,4.502499999999958,533,1,1.25,3,1,4,0,NA,1.7767906718489894,0,0,
6,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,0.9749999999999848,1999,0,5,10,2000,true,4.5,0,374,10,2,2,6,10,2,2,6,4.523124999999969,536,1,1.3,4,1,5,0,NA,2.21086085394502,0,0,
7,0.5,timed-search,0.1,50,4,11,35,1,1,1,random,5,6,Randomly placed,1.014999999999981,1999,0,5,10,2000,true,4.5,0,389,10,2,1,7,10,2,1,7,4.502499999999984,536,1,1.4,2,5,3,0,NA,2.220988339811224,0,0,
14,0.5,timed-search,0.1,50,3,9,38,1,1,1,random,5,6,Randomly placed,1.0149999999999844,1999,0,5,10,2000,true,4.5,0,421,10,1,3,6,10,1,3,6,4.501249999999954,532,1,1.4,2,4,4,0,NA,2.221605109691775,0,0,
