Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Estimated Density,Mussels Per Person Hour,HH metric,HH Variance,
10,0.5,timed-search,0.1,50,3,10,37,Clumped-Poisson,10,2,One shore only,1.0149999999999861,10,0,2,10,90,true,4.5,0,400,21,0,5,16,21,0,5,16,4.5031249999999705,0,4.663428174878587,0,0,
12,0.5,timed-search,0.1,50,4,4,42,Clumped-Poisson,10,2,One shore only,1.1349999999999842,10,0,2,10,90,true,4.5,0,436,5,0,1,4,5,0,1,4,4.509374999999962,0,1.108801108801118,0,0,
16,0.5,timed-search,0.1,50,6,7,37,Clumped-Poisson,10,2,One shore only,1.0949999999999815,10,0,2,10,90,true,4.5,0,413,8,2,2,4,8,2,2,4,4.502499999999964,0,1.776790671848987,0,0,
9,0.5,timed-search,0.1,50,4,10,36,Clumped-Poisson,10,2,One shore only,1.174999999999985,10,0,2,10,90,true,4.5,0,416,17,1,2,14,17,1,2,14,4.50312499999996,0,3.775156141568389,0,0,
15,0.5,timed-search,0.1,50,3,7,40,Clumped-Poisson,10,2,One shore only,1.1349999999999805,10,0,2,10,90,true,4.5,0,380,5,0,0,5,5,0,0,5,4.5074999999999665,0,1.1092623405435469,0,0,
3,0.5,timed-search,0.1,50,6,7,37,Clumped-Poisson,10,2,One shore only,1.174999999999982,10,0,2,10,90,true,4.5,0,392,18,2,2,14,18,2,2,14,4.509999999999986,0,3.991130820399126,0,0,
13,0.5,timed-search,0.1,50,4,3,43,Clumped-Poisson,10,2,One shore only,1.0949999999999833,10,0,2,10,90,true,4.5,0,428,4,0,0,4,4,0,0,4,4.5199999999999765,0,0.884955752212394,0,0,
7,0.5,timed-search,0.1,50,6,6,38,Clumped-Poisson,10,2,One shore only,1.0149999999999848,10,0,2,10,90,true,4.5,0,421,23,2,0,21,23,2,0,21,4.507499999999983,0,5.102606766500296,0,0,
11,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.0549999999999808,10,0,2,10,90,true,4.5,0,387,16,0,4,12,16,0,4,12,4.50374999999996,0,3.5525950596725266,0,0,
5,0.5,timed-search,0.1,50,6,4,40,Clumped-Poisson,10,2,One shore only,1.0549999999999822,10,0,2,10,90,true,4.5,0,439,8,1,0,7,8,1,0,7,4.5187499999999625,0,1.7704011065007061,0,0,
8,0.5,timed-search,0.1,50,8,6,36,Clumped-Poisson,10,2,One shore only,1.214999999999984,10,0,2,10,90,true,4.5,0,398,21,5,3,13,21,5,3,13,4.522499999999993,0,4.64344941956883,0,0,
6,0.5,timed-search,0.1,50,7,5,38,Clumped-Poisson,10,2,One shore only,1.1749999999999843,10,0,2,10,90,true,4.5,0,398,14,3,1,10,14,3,1,10,4.51687499999997,0,3.0994880309949004,0,0,
4,0.5,timed-search,0.1,50,2,5,43,Clumped-Poisson,10,2,One shore only,1.0149999999999861,10,0,2,10,90,true,4.5,0,352,15,1,1,13,15,1,1,13,4.504374999999991,0,3.3300957402525393,0,0,
19,0.5,timed-search,0.1,50,7,7,36,Clumped-Poisson,10,2,One shore only,1.2149999999999799,10,0,2,10,90,true,4.5,0,356,9,0,2,7,9,0,2,7,4.515624999999996,0,1.9930795847750884,0,0,
2,0.5,timed-search,0.1,50,5,8,37,Clumped-Poisson,10,2,One shore only,1.1749999999999827,10,0,2,10,90,true,4.5,0,379,20,1,3,16,20,1,3,16,4.516249999999966,0,4.428452809299785,0,0,
18,0.5,timed-search,0.1,50,7,7,36,Clumped-Poisson,10,2,One shore only,1.0149999999999848,10,0,2,10,90,true,4.5,0,422,9,3,1,5,9,3,1,5,4.5212499999999745,0,1.9905999447055684,0,0,
14,0.5,timed-search,0.1,50,8,3,39,Clumped-Poisson,10,2,One shore only,1.0149999999999848,10,0,2,10,90,true,4.5,0,396,15,1,0,14,15,1,0,14,4.505624999999976,0,3.329171868497729,0,0,
20,0.5,timed-search,0.1,50,2,12,36,Clumped-Poisson,10,2,One shore only,1.0549999999999826,10,0,2,10,90,true,4.5,0,435,18,0,4,14,18,0,4,14,4.521874999999981,0,3.980649619903265,0,0,
17,0.5,timed-search,0.1,50,9,9,32,Clumped-Poisson,10,2,One shore only,1.1349999999999811,10,0,2,10,90,true,4.5,0,413,18,6,3,9,18,6,3,9,4.518749999999955,0,3.983402489626595,0,0,
24,0.5,timed-search,0.1,50,3,11,36,Clumped-Poisson,10,2,One shore only,1.1749999999999832,10,0,2,10,90,true,4.5,0,423,5,1,1,3,5,1,1,3,4.502499999999968,0,1.110494169905616,0,0,
21,0.5,timed-search,0.1,50,6,10,34,Clumped-Poisson,10,2,One shore only,1.0149999999999852,10,0,2,10,90,true,4.5,0,407,12,2,5,5,12,2,5,5,4.5224999999999875,0,2.653399668325049,0,0,
26,0.5,timed-search,0.1,50,4,14,32,Clumped-Poisson,10,2,One shore only,1.1349999999999838,10,0,2,10,90,true,4.5,0,389,8,2,2,4,8,2,2,4,4.501874999999984,0,1.7770373455504713,0,0,
23,0.5,timed-search,0.1,50,3,8,39,Clumped-Poisson,10,2,One shore only,1.0949999999999809,10,0,2,10,90,true,4.5,0,406,10,0,1,9,10,0,1,9,4.509374999999991,0,2.2176022176022223,0,0,
28,0.5,timed-search,0.1,50,7,6,37,Clumped-Poisson,10,2,One shore only,1.0149999999999866,10,0,2,10,90,true,4.5,0,369,11,0,0,11,11,0,0,11,4.5093749999999835,0,2.4393624393624482,0,0,
27,0.5,timed-search,0.1,50,4,13,33,Clumped-Poisson,10,2,One shore only,1.214999999999981,10,0,2,10,90,true,4.5,0,396,17,1,5,11,17,1,5,11,4.516249999999994,0,3.764184887904793,0,0,
32,0.5,timed-search,0.1,50,2,5,43,Clumped-Poisson,10,2,One shore only,1.014999999999983,10,0,2,10,90,true,4.5,0,353,11,0,1,10,11,0,1,10,4.504999999999993,0,2.441731409544954,0,0,
29,0.5,timed-search,0.1,50,3,7,40,Clumped-Poisson,10,2,One shore only,1.054999999999984,10,0,2,10,90,true,4.5,0,419,12,0,1,11,12,0,1,11,4.513749999999976,0,2.658543339795085,0,0,
