Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mean Probability of Detection for Sampled Mussels,Mean Times Sampled Mussel is Sampled,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
4,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,0.9749999999999825,1999,0,5,10,2000,true,4.5,0,423,7,0,1,6,7,0,1,6,4.515624999999971,536,1,1.4285714285714286,1,1,5,0,NA,1.5501730103806328,0,0,
10,0.5,timed-search,0.1,50,3,7,40,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,376,11,2,4,5,11,2,4,5,4.5087499999999965,537,1,2.090909090909091,3,7,1,0,NA,2.439700582201277,0,0,
2,0.5,timed-search,0.1,50,3,6,41,1,1,1,random,5,6,Randomly placed,1.0549999999999855,1999,0,5,10,2000,true,4.5,0,399,10,1,2,7,10,1,2,7,4.516874999999979,536,1,1.7,2,4,4,0,NA,2.2139200221392104,0,0,
12,0.5,timed-search,0.1,50,7,9,34,1,1,1,random,5,6,Randomly placed,1.0549999999999853,1999,0,5,10,2000,true,4.5,0,413,9,2,2,5,9,2,2,5,4.501249999999983,535,1,1.1111111111111112,3,3,3,0,NA,1.9994445987225846,0,0,
14,0.5,timed-search,0.1,50,6,3,41,1,1,1,random,5,6,Randomly placed,0.9749999999999834,1999,0,5,10,2000,true,4.5,0,402,12,1,3,8,12,1,3,8,4.519374999999968,536,1,1.3333333333333333,5,5,2,0,NA,2.6552344074125482,0,0,
16,0.5,timed-search,0.1,50,7,8,35,1,1,1,random,5,6,Randomly placed,1.0149999999999841,1999,0,5,10,2000,true,4.5,0,411,13,0,2,11,13,0,2,11,4.518749999999975,538,1,1.2307692307692308,3,4,6,0,NA,2.8769017980636398,0,0,
11,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,401,20,1,2,17,20,1,2,17,4.524999999999985,539,1,1.8,3,9,8,0,NA,4.419889502762445,0,0,
3,0.5,timed-search,0.1,50,8,10,32,1,1,1,random,5,6,Randomly placed,1.0149999999999841,1999,0,5,10,2000,true,4.5,0,425,10,3,1,6,10,3,1,6,4.518124999999963,536,1,1.6,1,3,6,0,NA,2.213307511412385,0,0,
5,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.9749999999999831,1999,0,5,10,2000,true,4.5,0,365,7,1,3,3,7,1,3,3,4.50499999999999,536,1,1.2857142857142858,2,2,3,0,NA,1.5538290788013354,0,0,
17,0.5,timed-search,0.1,50,4,9,37,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,407,7,1,3,3,7,1,3,3,4.506249999999971,534,1,1.5714285714285714,0,0,7,0,NA,1.5533980582524372,0,0,
18,0.5,timed-search,0.1,50,2,6,42,1,1,1,random,5,6,Randomly placed,1.0149999999999808,1999,0,5,10,2000,true,4.5,0,416,10,0,1,9,10,0,1,9,4.503749999999972,534,1,1.5,2,5,3,0,NA,2.2203719122953234,0,0,
6,0.5,timed-search,0.1,50,4,3,43,1,1,1,random,5,6,Randomly placed,1.0149999999999815,1999,0,5,10,2000,true,4.5,0,350,6,1,0,5,6,1,0,5,4.506874999999962,533,1,1.3333333333333333,1,1,4,0,NA,1.3312994036888202,0,0,
9,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,405,7,0,2,5,7,0,2,5,4.501874999999994,534,1,1.7142857142857142,4,2,1,0,NA,1.554907677356659,0,0,
8,0.5,timed-search,0.1,50,2,9,39,1,1,1,random,5,6,Randomly placed,1.05499999999998,1999,0,5,10,2000,true,4.5,0,421,9,0,2,7,9,0,2,7,4.52374999999996,535,1,1,2,2,5,0,NA,1.989499861840305,0,0,
7,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,416,7,1,1,5,7,1,1,5,4.509999999999968,534,1,1.1428571428571428,1,2,4,0,NA,1.5521064301552217,0,0,
13,0.5,timed-search,0.1,50,6,7,37,1,1,1,random,5,6,Randomly placed,1.0149999999999848,1999,0,5,10,2000,true,4.5,0,415,11,0,4,7,11,0,4,7,4.503124999999979,535,1,1.2727272727272727,7,1,3,0,NA,2.4427480916030646,0,0,
1,0.5,timed-search,0.1,50,6,3,41,1,1,1,random,5,6,Randomly placed,0.9749999999999853,1999,0,5,10,2000,true,4.5,0,426,10,1,1,8,10,1,1,8,4.503124999999972,533,1,1.2,2,0,8,0,NA,2.220680083275517,0,0,
15,0.5,timed-search,0.1,50,8,10,32,1,1,1,random,5,6,Randomly placed,0.9749999999999828,1999,0,5,10,2000,true,4.5,0,399,10,5,1,4,10,5,1,4,4.5112499999999836,535,1,1.1,1,3,6,0,NA,2.2166805209199305,0,0,
20,0.5,timed-search,0.1,50,6,4,40,1,1,1,random,5,6,Randomly placed,1.0149999999999837,1999,0,5,10,2000,true,4.5,0,409,10,1,0,9,10,1,0,9,4.508749999999975,536,1,1.4,1,6,3,0,NA,2.2179096201829895,0,0,
21,0.5,timed-search,0.1,50,5,10,35,1,1,1,random,5,6,Randomly placed,1.0149999999999848,1999,0,5,10,2000,true,4.5,0,410,9,2,1,6,9,2,1,6,4.511249999999984,536,1,1.7777777777777777,1,4,4,0,NA,1.9950124688279371,0,0,
19,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,421,9,1,2,6,9,1,2,6,4.5199999999999685,535,1,1.2222222222222223,3,6,0,0,NA,1.99115044247789,0,0,
22,0.5,timed-search,0.1,50,4,5,41,1,1,1,random,5,6,Randomly placed,0.9749999999999855,1999,0,5,10,2000,true,4.5,0,412,12,0,2,10,12,0,2,10,4.524999999999975,537,1,1.25,3,3,6,0,NA,2.6519337016574736,0,0,
24,0.5,timed-search,0.1,50,6,7,37,1,1,1,random,5,6,Randomly placed,1.014999999999981,1999,0,5,10,2000,true,4.5,0,401,11,1,2,8,11,1,2,8,4.524374999999994,539,1,1.5454545454545454,4,4,3,0,NA,2.4312750379886756,0,0,
23,0.5,timed-search,0.1,50,3,10,37,1,1,1,random,5,6,Randomly placed,0.9749999999999818,1999,0,5,10,2000,true,4.5,0,400,6,2,0,4,6,2,0,4,4.503749999999979,533,1,1.1666666666666667,1,2,3,0,NA,1.332223147377192,0,0,
28,0.5,timed-search,0.1,50,5,9,36,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,418,12,1,3,8,12,1,3,8,4.509999999999986,537,1,1.25,3,7,2,0,NA,2.6607538802660837,0,0,
30,0.5,timed-search,0.1,50,5,5,40,1,1,1,random,5,6,Randomly placed,0.9749999999999798,1999,0,5,10,2000,true,4.5,0,398,12,3,2,7,12,3,2,7,4.505624999999984,536,1,1.4166666666666667,4,4,4,0,NA,2.6633374947981783,0,0,
34,0.5,timed-search,0.1,50,3,5,42,1,1,1,random,5,6,Randomly placed,0.9749999999999825,1999,0,5,10,2000,true,4.5,0,430,10,0,1,9,10,0,1,9,4.509999999999971,534,1,1.5,3,2,5,0,NA,2.2172949002217437,0,0,
29,0.5,timed-search,0.1,50,8,5,37,1,1,1,random,5,6,Randomly placed,1.0549999999999822,1999,0,5,10,2000,true,4.5,0,409,15,1,2,12,15,1,2,12,4.524374999999991,539,1,1.6,2,7,6,0,NA,3.3153750518027416,0,0,
31,0.5,timed-search,0.1,50,6,8,36,1,1,1,random,5,6,Randomly placed,0.9749999999999799,1999,0,5,10,2000,true,4.5,0,443,5,2,0,3,5,2,0,3,4.507499999999975,534,1,1.6,2,3,0,0,NA,1.1092623405435447,0,0,
27,0.5,timed-search,0.1,50,7,10,33,1,1,1,random,5,6,Randomly placed,0.9749999999999812,1999,0,5,10,2000,true,4.5,0,394,9,1,3,5,9,1,3,5,4.51562499999997,536,1,1.6666666666666667,0,2,7,0,NA,1.9930795847751,0,0,
25,0.5,timed-search,0.1,50,8,6,36,1,1,1,random,5,6,Randomly placed,1.0149999999999815,1999,0,5,10,2000,true,4.5,0,416,12,4,1,7,12,4,1,7,4.504374999999994,536,1,1,2,7,3,0,NA,2.6640765922020293,0,0,
33,0.5,timed-search,0.1,50,3,9,38,1,1,1,random,5,6,Randomly placed,0.9749999999999833,1999,0,5,10,2000,true,4.5,0,391,9,0,0,9,9,0,0,9,4.502499999999979,534,1,1.5555555555555556,2,4,3,0,NA,1.9988895058301037,0,0,
26,0.5,timed-search,0.1,50,7,4,39,1,1,1,random,5,6,Randomly placed,0.974999999999981,1999,0,5,10,2000,true,4.5,0,390,9,1,0,8,9,1,0,8,4.524374999999979,537,1,1.1111111111111112,4,4,1,0,NA,1.9892250310816504,0,0,
32,0.5,timed-search,0.1,50,5,5,40,1,1,1,random,5,6,Randomly placed,0.974999999999984,1999,0,5,10,2000,true,4.5,0,411,10,3,0,7,10,3,0,7,4.501874999999976,534,1,1.4,5,2,3,0,NA,2.2212966819380933,0,0,
36,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,426,13,3,2,8,13,3,2,8,4.51624999999997,537,1,1.2307692307692308,2,5,6,0,NA,2.878494326044857,0,0,
35,0.5,timed-search,0.1,50,8,7,35,1,1,1,random,5,6,Randomly placed,0.9749999999999812,1999,0,5,10,2000,true,4.5,0,413,6,1,1,4,6,1,1,4,4.508749999999972,533,1,1.5,1,2,3,0,NA,1.3307457721097948,0,0,
37,0.5,timed-search,0.1,50,5,3,42,1,1,1,random,5,6,Randomly placed,1.05499999999998,1999,0,5,10,2000,true,4.5,0,425,6,0,0,6,6,0,0,6,4.501874999999968,533,1,1.5,1,3,2,0,NA,1.3327780091628583,0,0,
38,0.5,timed-search,0.1,50,7,7,36,1,1,1,random,5,6,Randomly placed,1.054999999999984,1999,0,5,10,2000,true,4.5,0,419,15,2,3,10,15,2,3,10,4.513749999999972,536,1,1.3333333333333333,7,4,4,0,NA,3.3231791747438586,0,0,
